IP,Equipo,BW,Servicio
10.233.14.36,AMOV_Almacen_Chimbote,2.25,Almacen
10.233.7.15,AMOV_AlmacenIca,4,Almacen
10.233.1.129,AMOV_AlmacenRansaChiclayo,2.5,Almacen
10.234.207.12,AMOV_AlmacenSolum,20,Almacen
10.233.26.37,AMOV_CAC_Arequipa,40,CAC
10.233.26.3,AMOV_CAC_Arequipa4,10,CAC
10.232.15.99,AMOV_CAC_Begonias,40,CAC
10.234.0.123,AMOV_CAC_Begonias_Backup,20,CAC
10.233.8.26,AMOV_CAC_CajamarcaI,20,CAC
10.233.8.59,AMOV_CAC_CajamarcaII,10,CAC
10.232.45.68,AMOV_CAC_CentCivico,32,CAC
10.233.1.18,AMOV_CAC_Chiclayo,32,CAC
10.232.61.18,AMOV_CAC_Collique,32,CAC
10.233.2.23,AMOV_CAC_Cuzco2,20,CAC
10.233.2.52,AMOV_CAC_Cuzco3_2,20,CAC
10.233.133.6,AMOV_CAC_Cuzco4,32,CAC
10.233.133.12,AMOV_CAC_Cuzco5,32,CAC
10.234.162.2,AMOV_CAC_DEMO_Brasil,40,CAC
10.234.72.17,AMOV_CAC_DEMO_Chorrillos,31,CAC
10.232.45.12,AMOV_CAC_DEMO_Jirones,40,CAC
10.232.1.19,AMOV_CAC_Huacho,32,CAC
10.232.1.2,AMOV_CAC_Huacho_Salaverry,5,CAC
10.233.13.19,AMOV_CAC_Huancayo,40,CAC
10.233.14.83,AMOV_CAC_Huaraz,20,CAC
10.234.66.12,AMOV_CAC_Larco,40,CAC
10.232.49.117,AMOV_CAC_MegaPlaza2,40,CAC
10.234.134.89,AMOV_CAC_MinkaII,20,CAC
10.234.8.43,AMOV_CAC_MOLINA,40,CAC
10.232.67.33,AMOV_CAC_Plaza_NORTE,40,CAC
10.233.5.119,AMOV_CAC_Porongoche,20,CAC
10.232.39.14,AMOV_CAC_Primavera_Contingencia,20,CAC
10.233.17.1,AMOV_CAC_PtoMaldonado,20,CAC
10.233.9.5,AMOV_CAC_Pucallpa,20,CAC
10.233.9.29,AMOV_CAC_Pucallpa2,14,CAC
10.234.128.33,AMOV_CAC_SALAVERRY,40,CAC
10.234.158.39,AMOV_CAC_SanMiguel2,20,CAC
10.232.35.5,AMOV_CAC_SantaClara,20,CAC
10.232.31.18,AMOV_CAC_TorreSanIsidro,0,CAC
10.233.0.165,AMOV_CAC_Trujillo1,40,CAC
10.233.0.166,AMOV_CAC_Trujillo2,20,CAC
10.233.0.167,AMOV_CAC_Trujillo3,20,CAC
10.233.0.85,AMOV_CAC_Trujillo4,20,CAC
10.233.3.103,AMOV_CAC_Tumbes,0,CAC
10.234.192.8,AMOV_CAC_VillaSalvador,5,CAC
10.233.133.38,AMOV_CAV_ABANCAY,20,CAV
10.233.8.36,AMOV_CAV_Chachapoyas,8,CAV
10.232.66.12,AMOV_LOCAL_MARCOPOLO,56,Sede
10.234.166.15,AMOV_Ransa_MANDRIOTTI,0,Almacen
10.233.24.2,AMOV_Sede_Moquegua,3,Sede
10.233.133.37,AMOV_SedeAdministrativa_Apurimac,20,Sede
10.233.5.224,AMOV_SmartC_Arequipa,0,SmartC
10.233.1.117,AMOV_SmartC_Chclayo,0,SmartC
10.233.13.45,AMOV_SmartC_Huancayo,0,SmartC
10.233.7.66,AMOV_SmartC_Ica,4,SmartC
10.232.65.22,AMOV_SmartC_PzaNorte,0,SmartC
10.234.32.37,AMOV_SmartC_SantaAnita,0,SmartC
10.233.8.27,AMOV_SMARTCAC_Cajamarca,0,CAC
10.234.72.111,AMOV_SMC_PzaLimaSur,0,SMC
10.232.35.212,AMOV_BlueTower,0,SmartC
10.232.45.8,AMOV_CAC_Centro_Civico2,0,CAC
10.232.51.20,AMOV_CAC_Malvitec,0,CAC
10.234.14.21,AMOV_CAC_Primavera,0,CAC
10.234.3.2,AMOV_CAC_San_Borja_bk,0,CAC
10.233.12.82,AMOV_CAC_Tacna_Nuevo,0,CAC
10.233.0.191,AMOV_CFC_TRUJILLO,0,CFC
10.234.32.65,AMOV_MallAventuraSantaAnita,0,CAC
10.232.27.13,AMOV_SERPROIN_Lince,0,SmartC
10.234.28.52,AMOV_SMC_JockeyPlaza,0,SMC
10.233.9.3,AMOV_SMC_Pucallpa,0,SMC
10.233.12.27,AMOV_AlmacenCeva,0,Almacen
10.233.9.56,AMOV_AlmacenCeva_Pucallpa,0,Almacen
10.234.212.19,AMOV_AlmacenVES,0,Almacen
10.233.5.25,AMOV_CAC_Arequipa2,0,CAC
10.233.5.156,AMOV_CAC_Arequipa3,0,CAC
10.234.12.8,AMOV_CAC_Atocongo_Contingencia,0,CAC
10.234.196.58,AMOV_CAC_Atocongo_Principal,0,CAC
10.233.8.50,AMOV_CAC_Cajamarca_Real,0,CAC
10.233.1.142,AMOV_CAC_Chiclayo3,0,CAC
10.233.2.74,AMOV_CAC_Cuzco3,0,CAC
10.233.23.38,AMOV_CAC_HUYANUCO,0,CAC
10.233.5.247,AMOV_CAC_Ilo,0,CAC
10.233.15.28,AMOV_CAC_Juliaca2,0,CAC
10.234.213.11,AMOV_CAC_MallSur,0,CAC
10.232.85.19,AMOV_CAC_MegaPlaza2_contin,0,CAC
10.232.49.122,AMOV_CAC_MegaPzaInd,0,CAC
10.234.28.37,AMOV_CAC_NUEVO_JOCKEY_PLAZA,0,CAC
10.234.26.18,AMOV_CAC_OpenPlzAng_l,0,CAC
10.233.3.20,AMOV_CAC_Piura2,0,CAC
10.233.5.208,AMOV_CAC_Puno,0,CAC
10.232.33.14,AMOV_CAC_San_Borja,0,CAC
10.234.32.66,AMOV_CAC_SantaAnita,0,CAC
10.233.12.34,AMOV_CAC_Tacna,0,CAC
10.233.11.12,AMOV_CACTarapoto,0,CAC
10.234.3.5,AMOV_CENTRO_FORM_CLARO,0,CFC
10.233.2.70,AMOV_Almacen_Ceva_Cuzco,0,Almacen
10.232.35.95,AMOV_CAC_Gamarra,0,CAC
10.232.35.11,AMOV_CAC_OpenPlzAng_Contingencia,0,CAC
