Device,Host,Index,Transporte(Gbps),Servicio,Router,ubicacion
rMPLSCorePolo1_2,10.235.0.79,62,0,CORE,CORE - Polo1_2,Core Lima
rMPLSCorePolo1_3,10.235.0.87,82,0,CORE,CORE - Polo1_3,Core Lima
rMPLSCoreVillaSalvador3,10.235.0.82,60,0,CORE,CORE - VillaSalvador3,Core Lima
rMPLSCoreVillaSalvador2,10.235.0.81,58,0,CORE,CORE - VillaSalvador2,Core Lima
rCorePolo1_1,10.235.0.83,35,0,CORE,rCORE - Polo1_1,Core Lima
rCorePolo1_2,10.235.0.84,35,0,CORE,rCORE - Polo1_2,Core Lima
rCoreVillaSalvador,10.235.0.85,33,0,CORE,rCORE - VillaSalvador,Core Lima
rCoreVillaSalvador2,10.235.0.88,33,0,CORE,rCORE - VillaSalvador2,Core Lima
rMPLSCoreTrujillo2,10.235.3.1,93,0,CORE,CORE - Trujillo2,Core Trujillo
rMPLSCoreTrujillo2,10.235.3.1,90,0,CORE,CORE - Trujillo2,Core Trujillo
rMPLSCoreTrujillo3,10.235.3.2,24,0,CORE,CORE - Trujillo3,Core Trujillo
rMPLSCoreTrujillo3,10.235.3.2,20,0,CORE,CORE - Trujillo3,Core Trujillo
rMPLSCoreArequipa2,10.235.3.32,37,0,CORE,CORE - Arequipa2,Core Arequipa
rMPLSCoreArequipa2,10.235.3.32,46,0,CORE,CORE - Arequipa2,Core Arequipa
rMPLSCoreArequipa3,10.235.3.33,13,0,CORE,CORE - Arequipa3,Core Arequipa
rMPLSCoreArequipa3,10.235.3.33,14,0,CORE,CORE - Arequipa3,Core Arequipa
rMPLSCorePolo1_2,10.235.0.79,152,0,CORE,CORE - Polo1_2,Borde Lima
rMPLSCorePolo1_3,10.235.0.87,111,0,CORE,CORE - Polo1_3,Borde Trujillo
rMPLSCorePolo1_3,10.235.0.87,101,0,CORE,CORE - Polo1_3,Borde Trujillo
rMPLSCorePolo1_3,10.235.0.87,164,0,CORE,CORE - Polo1_3,Borde Lima
rMPLSCoreVillaSalvador2,10.235.0.81,68,0,CORE,CORE - VillaSalvador2,Borde Arequipa
rMPLSCoreVillaSalvador2,10.235.0.81,79,0,CORE,CORE - VillaSalvador2,Borde Arequipa
rMPLSCoreVillaSalvador2,10.235.0.81,150,0,CORE,CORE - VillaSalvador2,Borde Arequipa
rMPLSCoreVillaSalvador3,10.235.0.82,146,0,CORE,CORE - VillaSalvador3,Borde Lima
rMPLSCoreTrujillo2,10.235.3.1,42,0,CORE,CORE - Trujillo2,Borde Trujillo
rMPLSCoreTrujillo3,10.235.3.2,12,0,CORE,CORE - Trujillo3,Borde Trujillo
rMPLSCoreArequipa2,10.235.3.32,36,0,CORE,CORE - Arequipa2,Borde Arequipa
rMPLSCoreArequipa3,10.235.3.33,12,0,CORE,CORE - Arequipa3,Borde Arequipa
rMPLSCoreArequipa,10.235.2.16,54,0,CORE,CORE - Arequipa,Borde Arequipa
rAGREGADORAviacion,10.235.0.126,60,0,AGG,AGG - Aviacion,Anillo Este
rAGREGADORAviacion,10.235.0.126,61,0,AGG,AGG - Aviacion,Anillo Este
rAGREGADORAviacion,10.235.0.126,1081,0,AGG,AGG - Aviacion,Anillo Este
rAGREGADORCamacho2,10.235.0.128,21,0,AGG,AGG - Camacho2,Anillo Este
rAGREGADORCamacho2,10.235.0.128,20,0,AGG,AGG - Camacho2,Anillo Este
rAGREGADORHiguereta2,10.235.0.125,1512,0,AGG,AGG - Higuereta2,Anillo Este
rAGREGADORHiguereta2,10.235.0.125,672,0,AGG,AGG - Higuereta2,Anillo Este
rAGREGADORLaMolina,10.235.0.129,361,0,AGG,AGG - LaMolina,Anillo Este
rAGREGADORLaMolina,10.235.0.129,60,0,AGG,AGG - LaMolina,Anillo Este
rAGREGADORMonterrico,10.235.0.127,61,0,AGG,AGG - Monterrico,Anillo Este
rAGREGADORMonterrico,10.235.0.127,60,0,AGG,AGG - Monterrico,Anillo Este
rAGREGADORSantaAnita,10.235.0.130,61,0,AGG,AGG - SantaAnita,Anillo Este
rAGREGADORZarate2,10.235.0.69,469,0,AGG,AGG - Zarate2,Anillo Este
rAGREGADORZarate2,10.235.0.69,67,0,AGG,AGG - Zarate2,Anillo Este
rMPLSAbancay,10.235.2.121,72,0,PE,PE - Abancay,Provincia Sur
rMPLSAeropuerto01,10.235.125.12,214,0,PE,PE - Aeropuerto01,Anillo Oeste
rMPLSAeropuerto01,10.235.125.12,211,0,PE,PE - Aeropuerto01,Anillo Oeste
rMPLSAeropuerto2,10.235.0.67,116,0,PE,PE - Aeropuerto2,Anillo Oeste
rMPLSAeropuerto2,10.235.0.67,125,0,PE,PE - Aeropuerto2,Anillo Oeste
rMPLSAeropuerto3,10.235.0.68,24,0,PE,PE - Aeropuerto3,Anillo Oeste
rMPLSAeropuerto3,10.235.0.68,23,0,PE,PE - Aeropuerto3,Anillo Oeste
rMPLSAeropuerto3,10.235.0.68,25,0,PE,PE - Aeropuerto3,Anillo Oeste
rMPLSArequipa3,10.235.2.30,279,0,PE,PE - Arequipa3,Provincia Sur
rMPLSArequipa3,10.235.2.30,264,0,PE,PE - Arequipa3,Provincia Sur
rMPLSArequipa4,10.235.3.34,598,0,PE,PE - Arequipa4,Provincia Sur
rMPLSArequipa4,10.235.3.34,156,0,PE,PE - Arequipa4,Provincia Sur
rMPLSArequipa4,10.235.3.34,160,0,PE,PE - Arequipa4,Provincia Sur
rMPLSArequipa4,10.235.3.34,157,0,PE,PE - Arequipa4,Provincia Sur
rMPLSArequipa5,10.235.3.39,568,0,PE,PE - Arequipa5,Provincia Sur
rMPLSArequipa5,10.235.3.39,314,0,PE,PE - Arequipa5,Provincia Sur
rMPLSArequipa5,10.235.3.39,321,0,PE,PE - Arequipa5,Provincia Sur
rMPLSArequipa6,10.235.3.35,175,0,PE,PE - Arequipa6,Provincia Sur
rMPLSArequipa6,10.235.3.35,174,0,PE,PE - Arequipa6,Provincia Sur
rMPLSAsia2,10.235.145.45,33,0,PE,PE - Asia2,Lima Provincia
rMPLSAsia2,10.235.145.45,34,0,PE,PE - Asia2,Lima Provincia
rMPLSAsia2,10.235.145.45,13,0,PE,PE - Asia2,Lima Provincia
rMPLSAsia3,10.235.145.46,29,0,PE,PE - Asia3,Lima Provincia
rMPLSAviacion,10.235.0.92,235,0,PE,PE - Aviacion,Anillo Este
rMPLSAviacion,10.235.0.92,234,0,PE,PE - Aviacion,Anillo Este
rMPLSayacucho,10.235.2.122,98,0,PE,PE - ayacucho,Provincia Sur
rMPLSayacucho,10.235.2.122,99,0,PE,PE - ayacucho,Provincia Sur
rMPLSBarranca,10.235.2.98,154,0,PE,PE - Barranca,Lima Provincia
rMPLSBarranca,10.235.2.98,138,0,PE,PE - Barranca,Lima Provincia
rMPLSBarranca2,10.235.2.99,26,0,PE,PE - Barranca2,Lima Provincia
rMPLSCajamarca4,10.235.3.13,216,0,PE,PE - Cajamarca4,Provincia Norte
rMPLSCajamarca5,10.235.3.14,114,0,PE,PE - Cajamarca5,Provincia Norte
rMPLSCallao,10.235.0.102,276,0,PE,PE - Callao,Anillo Oeste
rMPLSCallao,10.235.0.102,278,0,PE,PE - Callao,Anillo Oeste
rMPLSCamacho,10.235.63.8,275,0,PE,PE - Camacho,Anillo Este
rMPLSCamacho,10.235.63.8,277,0,PE,PE - Camacho,Anillo Este
rMPLSChiclayo4,10.235.3.6,142,0,PE,PE - Chiclayo4,Provincia Norte
rMPLSChiclayo4,10.235.3.6,143,0,PE,PE - Chiclayo4,Provincia Norte
rMPLSChiclayo5,10.235.3.7,78,0,PE,PE - Chiclayo5,Provincia Norte
rMPLSChiclayo5,10.235.3.7,80,0,PE,PE - Chiclayo5,Provincia Norte
rMPLSChiclayo5,10.235.3.7,79,0,PE,PE - Chiclayo5,Provincia Norte
rMPLSChiclayo5,10.235.3.7,81,0,PE,PE - Chiclayo5,Provincia Norte
rMPLSChiclayo5,10.235.3.7,87,0,PE,PE - Chiclayo5,Provincia Norte
rMPLSChimbote2,10.235.2.12,195,0,PE,PE - Chimbote2,Provincia Norte
rMPLSChimbote2,10.235.2.12,35,0,PE,PE - Chimbote2,Provincia Norte
rMPLSChimbote2,10.235.2.12,41,0,PE,PE - Chimbote2,Provincia Norte
rMPLSChimbote3,10.235.2.13,96,0,PE,PE - Chimbote3,Provincia Norte
rMPLSChimbote3,10.235.2.13,41,0,PE,PE - Chimbote3,Provincia Norte
rMPLSChincha2,10.235.2.117,36,0,PE,PE - Chincha2,Provincia Centro
rMPLSChincha3,10.235.2.118,13,0,PE,PE - Chincha3,Provincia Centro
rMPLSColonial,10.235.0.132,615,0,PE,PE - Colonial,Anillo Norte
rMPLSColonial,10.235.0.132,617,0,PE,PE - Colonial,Anillo Norte
rMPLSCorporativoPolo1,10.235.0.71,3,0,PE,PE - CorporativoPolo1,Servicios Lima
rMPLSCorporativoPolo1,10.235.0.71,3,0,PE,PE - CorporativoPolo1,Servicios Lima
rMPLSCorporativoPolo1,10.235.0.71,3,0,PE,PE - CorporativoPolo1,Servicios Lima
rMPLSCorporativoPolo2,10.235.0.72,3,0,PE,PE - CorporativoPolo2,Servicios Lima
rMPLSCorporativoPolo2,10.235.0.72,6,0,PE,PE - CorporativoPolo2,Servicios Lima
