Device,Host,Index,Transporte(Gbps),Servicio,TierOne,Neighbor,Router
rMPLSArequipaBR04,10.235.3.36,103,-,ServiciosInternet,ceServicios,cAGGArequipa4 - ceServicios,BR Huawei_Arequipa
rMPLSArequipaBR04,10.235.3.36,84,-,Core,BR Huawei - Core,Local - BR Huawei - Core,BR Huawei_Arequipa
rMPLSArequipaBR04,10.235.3.36,90,-,Core,BR Huawei - Core,Local - BR Huawei - Core,BR Huawei_Arequipa
rMPLSArequipaBR04,10.235.3.36,85,-,Core,BR Huawei - Core,Local - BR Huawei - Core,BR Huawei_Arequipa
rMPLSNAP_1,10.235.0.60,15,-,NAP,SwCoreNAP_01,Local - NAP_1,PE NAP_1
rMPLSNAP_1,10.235.0.60,16,-,NAP,SwCoreNAP_01,Local - NAP_1,PE NAP_1
rMPLSNAP_2,10.235.0.55,15,-,NAP,SwCoreNAP_02,Local - NAP_2,PE NAP_2
rMPLSNAP_2,10.235.0.55,16,-,NAP,SwCoreNAP_02,Local - NAP_2,PE NAP_2
rMPLSPolo1BR02,10.235.0.123,365,-,ServiciosInternet,Polo1 ,ceAgregadorServiciosVES,BR Huawei_Polo1
rMPLSPolo1BR02,10.235.0.123,229,-,ServiciosInternet,Polo1 ,ceAgregadorServiciosPolo1,BR Huawei_Polo1
rMPLSPolo1BR02,10.235.0.123,226,-,ServiciosInternet,Polo1 ,nIsladeServiciosPolo1,BR Huawei_Polo1
rMPLSPolo1BR02,10.235.0.123,65,8.8,PeerIntFacebook,1er Facebook,LANautilus - 1er Facebook,BR Huawei_Polo1
rMPLSPolo1BR02,10.235.0.123,17,-,PeerInternet,2do NTT,LANautilus - 2do NTT,BR Huawei_Polo1
rMPLSPolo1BR02,10.235.0.123,395,-,PeerInternet,3er Trunk Teliasonera,LANautilus - 3er Trunk Teliasonera,BR Huawei_Polo1
rMPLSPolo1BR02,10.235.0.123,386,-,PeerInternet,1er BundleLevel3,Level3 - 1er BundleLevel3,BR Huawei_Polo1
rMPLSPolo1BR02,10.235.0.123,73,-,PeerInternet,2do Teliasonera,Level3 - 2do Teliasonera,BR Huawei_Polo1
rMPLSPolo1BR02,10.235.0.123,14,-,PeerInternet,1er TINET,TIWS - 1er TINET,BR Huawei_Polo1
rMPLSPolo1BR02,10.235.0.123,7,-,PeerInternet,1er Tata,TIWS - 1er Tata,BR Huawei_Polo1
rMPLSPolo1BR02,10.235.0.123,353,-,PeerInternet,1er y 6to Teliasonera,TIWS - 1er y 6to Teliasonera,BR Huawei_Polo1
rMPLSPolo1BR02,10.235.0.123,355,-,PeerIntGoogle,3er y 4to Google,TIWS - 3er y 4to Google,BR Huawei_Polo1
rMPLSPolo1BR02,10.235.0.123,387,-,PeerInternet,3er y 4to GTT,TIWS-LANautilus - 3er y 4to GTT,BR Huawei_Polo1
