Router,Host
AgMPLSSanJuan3,10.253.6.34
AgMPLSZarate4,10.253.2.50
AgMPLSAeropuerto2,10.253.4.32
AgMPLSVillaSalvador2,10.253.6.35
AgMPLSAeropuerto2,10.253.4.32
AgMPLSAsia,10.253.6.31
AgMPLSNuevaCampana,10.253.12.8
AgMPLSOcharan4,10.253.6.36
AgMPLSSanFelipe2,10.253.4.5
AgMPLSSanJuan3,10.253.6.34
AgMPLSSantaLuzmila3,10.253.0.38
AgMPLSVillaSalvador2,10.253.6.35
AgMPLSZarate4,10.253.2.50
AgMPLSAeropuerto,10.253.4.13
AgMPLSArequipa,10.253.18.1
AgMPLSArriola,10.253.8.16
AgMPLSAviacion,10.253.2.16
AgMPLSAyaviri,10.191.200.2
AgMPLSBarranca,10.253.22.4
AgMPLSCACPuertoMaldonado,10.253.20.1
AgMPLSCEmpSanIsidro,10.253.8.8
AgMPLSCajamarca,10.253.16.1
AgMPLSCamacho,10.253.2.27
AgMPLSCasapalca,10.253.27.14
AgMPLSChacarilla,10.253.2.9
AgMPLSChaspi,10.191.200.8
AgMPLSChimbote,10.253.13.1
AgMPLSChinchon,10.253.8.9
AgMPLSChorrillos,10.253.6.15
AgMPLSColonial,10.253.0.36
AgMPLSColonial2,10.253.0.35
AgMPLSCotabambas,10.253.0.2
AgMPLSCotabambas2,10.253.0.3
AgMPLSCotabambas3,10.253.0.4
AgMPLSCuzco,10.253.21.1
AgMPLSHiguereta,10.253.2.6
AgMPLSHuacho,10.253.22.1
AgMPLSHuauraPueblo,10.253.22.3
AgMPLSHuisonroque,10.191.200.1
AgMPLSIca,10.253.17.1
AgMPLSJockeyPlaza,10.253.2.15
AgMPLSJuliaca,10.191.200.3
AgMPLSLaCantuta,10.253.2.49
AgMPLSLaCultura,10.253.21.9
AgMPLSLaMerced,10.253.27.10
AgMPLSLaMolina,10.253.2.33
AgMPLSLosOlivos,10.253.0.30
AgMPLSLurin,10.253.6.24
AgMPLSMachuPicchu,10.191.192.2
AgMPLSMonterrico,10.253.2.22
AgMPLSMoquegua,10.253.28.1
AgMPLSNeshuya,10.253.17.17
AgMPLSOcharan,10.253.6.8
AgMPLSOcharan2,10.253.6.9
AgMPLSOcharan3,10.253.6.10
AgMPLSPacasmayo,10.253.12.5
AgMPLSPampaLibre,10.253.12.1
AgMPLSPlayaArica,10.253.6.29
AgMPLSPucallpa,10.253.17.16
AgMPLSPunoCentro,10.191.200.5
AgMPLSQuillabamba,10.253.21.15
AgMPLSSanFelipe,10.253.4.4
AgMPLSSanJuan,10.253.6.20
AgMPLSSanJuan2,10.253.6.21
AgMPLSSantaAnita,10.253.2.41
AgMPLSSantaLuzmila,10.253.0.21
AgMPLSSantaLuzmila2,10.253.0.22
AgMPLSSicuani,10.191.192.1
AgMPLSSullana,10.253.10.2
AgMPLSTarma,10.253.27.9
AgMPLSTorreLarcoMar,10.253.6.7
AgMPLSUrubamba,10.253.21.12
AgMPLSVentanilla,10.253.4.8
AgMPLSVillaSalvador,10.253.6.30
AgMPLSZarate,10.253.2.46
AgMPLSZarate2,10.253.2.47
AgMPLSZarate3,10.253.2.48
cMPLSAeropuerto,10.253.4.12
cMPLSArriola,10.253.2.20
cMPLSAsia,10.253.6.25
cMPLSAviacion,10.253.2.13
cMPLSCallao,10.253.4.23
cMPLSCamacho,10.253.2.24
cMPLSChacarilla,10.253.2.2
cMPLSChinchon,10.253.8.1
cMPLSChorrillos,10.253.6.13
cMPLSColonial,10.253.0.37
cMPLSCotabambas,10.253.0.1
cMPLSElRosario,10.253.2.5
cMPLSHiguereta,10.253.2.1
cMPLSHuancayo,10.253.27.1
cMPLSHumboldt,10.253.2.4
cMPLSIngenieria,10.253.0.10
cMPLSInternetCP,10.253.6.2
cMPLSLaMolina,10.253.2.35
cMPLSLaPunta,10.253.4.30
cMPLSLosOlivos,10.253.0.28
cMPLSLosOlivos2,10.253.0.29
cMPLSMonterrico,10.253.2.19
cMPLSNuevoFelverana,10.253.2.26
cMPLSPando,10.253.4.29
cMPLSPardoyAliaga,10.253.6.4
cMPLSPuntaHermosa,10.253.6.26
cMPLSRafaelEscardo,10.253.4.28
cMPLSRicardoPalma,10.253.2.3
cMPLSSaladium,10.253.8.2
cMPLSSanFelipe,10.253.4.1
cMPLSSanJuan,10.253.6.18
cMPLSSanLuis,10.253.2.14
cMPLSSanLuis2,10.253.2.21
cMPLSSanMiguel,10.253.4.27
cMPLSSantaAnita,10.253.2.40
cMPLSSantaLuzmila,10.253.0.19
cMPLSShellCollique,10.253.0.20
cMPLSVallejo,10.253.2.25
cMPLSVillaSalvador,10.253.6.23
cMPLSZarate,10.253.2.45
